timestamp,node,pos,amps,bus_amps,tor_Nm,armed,disarm_msg
12:01:39.175,5,0.0001958608627319336,0.0,0.0,0.0,False,0
12:01:39.183,6,0.00021442770957946777,0.0,0.0,0.0,False,0
12:01:39.555,5,0.00026032328605651855,0.0,0.0,0.0,False,0
12:01:39.561,6,7.721781730651855e-05,0.0,0.0,0.0,False,0
12:01:39.929,5,-0.0002999603748321533,0.0,0.0,0.0,False,0
12:01:39.936,6,2.0265579223632812e-06,0.0,0.0,0.0,False,0
12:01:40.303,5,1.7881393432617188e-06,0.0,0.0,0.0,False,0
12:01:40.310,6,0.00012677907943725586,0.0,0.0,0.0,False,0
12:01:40.687,5,-2.8580427169799805e-05,0.0,0.0,0.0,False,0
12:01:40.694,6,0.00024169683456420898,0.0,0.0,0.0,False,0
12:01:41.061,5,1.6570091247558594e-05,0.0,0.0,0.0,False,0
12:01:41.067,6,-0.0001087486743927002,0.0,0.0,0.0,False,0
12:01:41.446,5,3.731250762939453e-05,0.0,0.0,0.0,False,0
12:01:41.454,6,-7.790327072143555e-05,0.0,0.0,0.0,False,0
12:01:41.833,5,-0.00022971630096435547,0.0,0.0,0.0,False,0
12:01:41.840,6,1.0520219802856445e-05,0.0,0.0,0.0,False,0
12:01:42.212,5,0.0001665055751800537,0.0,0.0,0.0,False,0
12:01:42.218,6,0.00016167759895324707,0.0,0.0,0.0,False,0
12:01:42.585,5,7.11977481842041e-05,0.0,0.0,0.0,False,0
12:01:42.592,6,7.763504981994629e-05,0.0,0.0,0.0,False,0
12:01:42.963,5,0.00030034780502319336,0.0,0.0,0.0,False,0
12:01:42.969,6,0.0001036226749420166,0.0,0.0,0.0,False,0
12:01:43.341,5,0.0002848207950592041,0.0,0.0,0.0,False,0
12:01:43.347,6,6.440281867980957e-05,0.0,0.0,0.0,False,0
12:01:43.715,5,-0.00013068318367004395,0.0,0.0,0.0,False,0
12:01:43.722,6,0.00027298927307128906,0.0,0.0,0.0,False,0
12:01:44.088,5,8.055567741394043e-05,0.0,0.0,0.0,False,0
12:01:44.094,6,-0.0002848207950592041,0.0,0.0,0.0,False,0
12:01:44.463,5,-0.00012955069541931152,0.0,0.0,0.0,False,0
12:01:44.471,6,0.00020492076873779297,0.0,0.0,0.0,False,0
12:01:44.838,5,-9.658932685852051e-05,0.0,0.0,0.0,False,0
12:01:44.844,6,-0.00019618868827819824,0.0,0.0,0.0,False,0
12:01:45.213,5,4.1365623474121094e-05,0.0,0.0,0.0,False,0
12:01:45.220,6,0.00017002224922180176,0.0,0.0,0.0,False,0
12:01:45.587,5,-0.0001195371150970459,0.0,0.0,0.0,False,0
12:01:45.594,6,-0.0002168715000152588,0.0,0.0,0.0,False,0
12:01:45.966,5,-0.00015401840209960938,0.0,0.0,0.0,False,0
12:01:45.973,6,0.0002988874912261963,0.0,0.0,0.0,False,0
12:01:46.343,5,0.00015231966972351074,0.0,0.0,0.0,False,0
12:01:46.350,6,-2.4080276489257812e-05,0.0,0.0,0.0,False,0
12:01:46.718,5,-5.7131052017211914e-05,0.0,0.0,0.0,False,0
12:01:46.724,6,-1.7523765563964844e-05,0.0,0.0,0.0,False,0
12:01:47.093,5,0.0004433095455169678,0.0,0.0,0.0,False,0
12:01:47.099,6,0.00026288628578186035,0.0,0.0,0.0,False,0
12:01:47.469,5,0.00017017126083374023,0.0,0.0,0.0,False,0
12:01:47.476,6,0.0001672208309173584,0.0,0.0,0.0,False,0
12:01:47.844,5,0.00041350722312927246,0.0,0.0,0.0,False,0
12:01:47.851,6,8.434057235717773e-06,0.0,0.0,0.0,False,0
12:01:48.220,5,-0.000266343355178833,0.0,0.0,0.0,False,0
12:01:48.226,6,8.20457935333252e-05,0.0,0.0,0.0,False,0
12:01:48.599,5,0.00020170211791992188,0.0,0.0,0.0,False,0
12:01:48.606,6,9.688735008239746e-05,0.0,0.0,0.0,False,0
12:01:48.984,5,0.00011172890663146973,0.0,0.0,0.0,False,0
12:01:48.991,6,-4.920363426208496e-05,0.0,0.0,0.0,False,0
12:01:49.358,5,-0.00014072656631469727,0.0,0.0,0.0,False,0
12:01:49.365,6,0.00020074844360351562,0.0,0.0,0.0,False,0
12:01:49.733,5,0.00010663270950317383,0.0,0.0,0.0,False,0
12:01:49.739,6,-9.801983833312988e-05,0.0,0.0,0.0,False,0
12:01:50.107,5,-5.364418029785156e-05,0.0,0.0,0.0,False,0
12:01:50.114,6,0.00017011165618896484,0.0,0.0,0.0,False,0
12:01:50.492,5,-0.0002016127109527588,0.0,0.0,0.0,False,0
12:01:50.500,6,0.0003326535224914551,0.0,0.0,0.0,False,0
12:01:50.873,5,-0.00010758638381958008,0.0,0.0,0.0,False,0
12:01:50.879,6,-3.4928321838378906e-05,0.0,0.0,0.0,False,0
12:01:51.247,5,0.00011157989501953125,0.0,0.0,0.0,False,0
12:01:51.253,6,0.0001195669174194336,0.0,0.0,0.0,False,0
12:01:51.621,5,0.0004584789276123047,0.0,0.0,0.0,False,0
12:01:51.628,6,8.958578109741211e-05,0.0,0.0,0.0,False,0
12:01:51.995,5,-0.00023385882377624512,0.0,0.0,0.0,False,0
